"possession","period","tiempo","resultado","team.name","n","x_inicio","y_inicio","y_fin","n_eventos","n_pases","n_pasesC","n_traslados","n_driblesE","prom_av_p","prom_av_t","n_jugadores","n_centros","n_cdf","n_pases_arearival","n_ingresos_arearival","inicia_golero","reinicio_juego","zona_inicio","nzonas","vel_media_p","vel_media_c","vert_tot","horiz_tot","dist.promP","dist.promC","dist.medP","dist.medC","n_eq","mundial","prop_tiempo","tiempo_aj_pos","exito","grupo","exito_num","dataset"
50,1,6.9090000000001,"perdiendo","Vietnam",12,60,40,64.9,5,3,3,3,0,-0.47,-0.7,6,0,0,0,0,0,1,13,4,6.18,0,-3.5,24.9,17.4547351666666,3.22456548318831,15.8823805,2.10950231097289,10,"F",0.00790140907890098,0.0281990107953971,"0","Grupo B",NA,"test"
51,1,30.7349999999999,"ganando","Netherlands",35,62.3,16.1,49.7,8,9,9,11,1,3.13,1.23,8,0,0,0,0,0,0,16,7,2.73,1.66090909090909,41.7,33.6,19.8854513888888,3.5023874031585,19.366207,2.82842712474619,32,"F",0.011399398040572,0.386805420929725,"1","Grupo B",NA,"test"
56,1,42.4429999999999,"ganando","Netherlands",28,7,35.8999999999999,61,4,9,8,8,0,8.51,4.55,9,0,0,0,0,1,1,3,13,4.26888888888888,1.355,88.4,25.1,29.1704156666666,7.44904866635771,29.235765,4.26380706024719,26,"F",0.0157418139266633,0.534152675468371,"1","Grupo A",NA,"test"
59,1,7.82400000000006,"perdiendo","Vietnam",10,51.8,25.8999999999999,17.2,4,3,3,3,0,5.67,-2.1,4,0,0,0,0,0,1,12,3,6.89666666666666,0,10.7,-8.69999999999999,16.1782493333333,3.76417032717139,16.571058,5.4230987451825,10,"F",0.00894783972113488,0.0319335736666935,"0","Grupo B",NA,"test"
65,1,22.1269999999999,"ganando","Netherlands",20,50.9,5.79999999999999,36.6,6,6,6,5,0,5.55,4.48,9,0,0,0,0,0,0,11,7,5.43666666666666,1.584,-47.6999999999999,30.8,16.316213,7.84560736592047,18.0676745,7.5,18,"F",0.00820675062449118,0.278472215679585,"1","Grupo B",NA,"test"
66,1,6.60099999999988,"perdiendo","Vietnam",7,6,44,77.0999999999999,3,3,2,1,0,4.47,-1.5,3,0,0,0,0,1,1,3,3,4.27333333333333,0,16.1,33.0999999999999,15.245894,1.86010752377383,16.154875,1.86010752377383,7,"F",0.00754916794468428,0.0269419120365335,"0","Grupo A",NA,"test"
79,1,0.916999999999916,"ganando","Netherlands",4,44.6,5.79999999999999,6.7,4,0,0,1,0,0,-5.2,2,0,0,0,0,0,0,11,1,0,0,-5.2,0.900000000000005,0,5.2773099207835,0,5.2773099207835,3,"F",0.000340108931290177,0.011540607483082,"1","Grupo A",NA,"test"
84,1,3.0329999999999,"perdiendo","Vietnam",5,41,79.9,77.2999999999999,5,1,1,1,0,15,8,3,0,0,0,0,0,1,15,2,7.4,5.56,23,-2.6,15.749286,8.29698740507661,15.749286,8.29698740507661,4,"F",0.00346866025999501,0.0123791575832154,"1","Grupo A",NA,"test"
87,1,3.17599999999993,"perdiendo","Vietnam",9,16.1,79.9,66.4,4,3,2,2,0,7.77,-2.15,4,0,0,0,0,0,1,5,2,10.5666666666666,0,22,-13.5,16.391327,2.15232432500308,12.254387,2.15232432500308,8,"F",0.00363220078659554,0.0129628105784017,"1","Grupo A",NA,"test"
91,1,2.21900000000005,"perdiendo","Vietnam",5,81.1,0,6.9,5,1,1,1,0,11.4,0.2,3,0,0,0,0,0,1,21,1,18.1,0.19,11.6,6.9,13.32554,0.200000000000002,13.32554,0.200000000000002,4,"F",0.00253773726242313,0.00905682514907898,"0","Grupo B",NA,"test"
103,2,1.13700000000017,"perdiendo","Vietnam",2,19.8,79.9,72.5,2,1,0,0,0,14.6,0,2,0,0,0,0,0,1,10,1,11.24,0,13.6999999999999,-7.4,15.823085,0,15.823085,0,2,"F",0.00130031873248106,0.00464065353515282,"0","Grupo A",NA,"test"
115,2,3.27200000000038,"perdiendo","Vietnam",3,15.9,28.2,27.1,3,1,0,0,0,50.3,0,2,0,0,0,0,1,0,2,2,13.4499999999999,0,50.3,-1.1,50.312027,0,50.312027,0,3,"F",0.00374199023102717,0.013354633568179,"0","Grupo A",NA,"test"
119,2,9.52399999999988,"ganando","Netherlands",18,72.5,7.2,40.6,6,4,4,4,0,8.75,-1.1,10,0,0,0,0,0,0,16,4,7.6125,0.46,-70.2,33.3999999999999,14.4134637,2.66308173463904,16.6301325,2.91577198377951,13,"F",0.00353238545431614,0.119861227556033,"1","Grupo B",NA,"test"
131,2,3.91100000000005,"perdiendo","Vietnam",8,34.5,54.3999999999999,48.2,5,2,2,2,0,-2.1,0.4,4,0,0,0,0,0,0,9,2,5.205,0.33,-3.39999999999999,-6.19999999999999,15.0660075,0.4,15.0660075,0.4,7,"F",0.00447277622052131,0.01596270534387,"1","Grupo A",NA,"test"
134,2,40.9299999999998,"ganando","Netherlands",41,83.9,10.7999999999999,27.2999999999999,7,11,10,12,1,3.7,-0.4,11,0,1,0,0,0,0,21,10,4.40454545454545,1.59916666666667,26.5,16.5,21.7150526818181,5.68666410977418,21.752472,2.00468968289817,36,"F",0.0151806527346872,0.515111302380141,"1","Grupo B",NA,"test"
